jns_karantina;komoditas;Satuan;Harga;komsat
I;Benih Patin;ekor;70000;Benih Patin/ekor
I;Benih Platy;ekor;70000;Benih Platy/ekor
I;Benih Rainbow fish;ekor;70000;Benih Rainbow fish/ekor
I;Benih Rasbora;ekor;70000;Benih Rasbora/ekor
I;Benih Siput/Keong;ekor;70000;Benih Siput/Keong/ekor
I;Benih Siput/Keong (ornamental);ekor;70000;Benih Siput/Keong (ornamental)/ekor
I;Benih Tetra;ekor;70000;Benih Tetra/ekor
I;Benih Tiger Fish;ekor;70000;Benih Tiger Fish/ekor
I;Benih Udang Hias;ekor;70000;Benih Udang Hias/ekor
I;Benih Udang Vaname;ekor;70000;Benih Udang Vaname/ekor
I;Benih Udang Vaname;kilogram;70000;Benih Udang Vaname/kilogram
I;Benih Udang Windu;ekor;70000;Benih Udang Windu/ekor
I;Benih Udang Windu;kilogram;70000;Benih Udang Windu/kilogram
I;Benih Vaname;ekor;70000;Benih Vaname/ekor
I;Bete Bete;kilogram;70000;Bete Bete/kilogram
I;Bete bete / petek;ekor;70000;Bete bete / petek/ekor
I;Bete bete / petek;kilogram;70000;Bete bete / petek/kilogram
I;Betok;ekor;70000;Betok/ekor
I;Betutu;ekor;70000;Betutu/ekor
I;Betutu;kilogram;70000;Betutu/kilogram
I;Biawak;ekor;70000;Biawak/ekor
I;Bibit Gabus;ekor;70000;Bibit Gabus/ekor
I;Bibit Garing;ekor;70000;Bibit Garing/ekor
I;Bibit Induk Ikan Lainnya;ekor;70000;Bibit Induk Ikan Lainnya/ekor
I;Bibit Induk Ikan Lainnya;kilogram;70000;Bibit Induk Ikan Lainnya/kilogram
I;Bintang Laut;ekor;70000;Bintang Laut/ekor
I;Bintang Laut;kilogram;70000;Bintang Laut/kilogram
I;Black Ghost;ekor;70000;Black Ghost/ekor
I;Black Lancer;ekor;70000;Black Lancer/ekor
I;Black Lancer;kilogram;70000;Black Lancer/kilogram
I;Blenny Fish;ekor;70000;Blenny Fish/ekor
I;Blue Devil;ekor;70000;Blue Devil/ekor
I;Blue Fruntosa;ekor;70000;Blue Fruntosa/ekor
I;Blue Panchax;ekor;70000;Blue Panchax/ekor
I;Blue Spice;ekor;70000;Blue Spice/ekor
I;Blue Star Endler;ekor;70000;Blue Star Endler/ekor
I;Boarfish;ekor;70000;Boarfish/ekor
I;Borneo sucker;ekor;70000;Borneo sucker/ekor
I;Brajanata;ekor;70000;Brajanata/ekor
I;Brajanata;kilogram;70000;Brajanata/kilogram
I;Brown Ghost;ekor;70000;Brown Ghost/ekor
